species,disease,symptoms,urgency,contagious,source
Fish,Fin Rot,"ragged,_frayed,_or_tattered_fins, fin_edges_appear_torn_or_disintegrating, redness_at_base_of_fins, white_edges_on_fins, fins_progressively_shortening, milky_appearance_at_fin_margins",medium,no,overhaul_simple
Fish,Ich,"small_white_spots_on_body,_fins,_and_gills, white_spots_about_0.5_1mm_in_diameter, spots_appear_raised, scratching_or_rubbing_against_objects, increased_mucus_production, lethargy, loss_of_appetite, clamped_fins, rapid_or_labored_breathing, gasping_at_the_surface, scale_damage_or_bruising_from_scratching, pale_gills",medium,no,overhaul_simple
Fish,Fungus,"white,_gray,_or_tan_cotton_like_growths, fluffy_or_fuzzy_patches_on_skin,_fins,_or_mouth, patches_that_look_like_cotton_balls, lethargy, loss_of_appetite",medium,no,overhaul_simple
Fish,Popeye / Exophthalmia,"one_or_both_eyes_protruding_or_bulging, swelling_behind_the_eye, cloudy_eyes, eye_appears_to_stick_out_from_socket, redness_around_eyes, possible_discharge",medium,no,overhaul_simple
Fish,Skin and Gill Flukes,"rubbing_or_scraping_against_objects, flashing, rapid_gill_movements, labored_breathing, gasping_at_surface, excess_mucus_on_skin_or_gills, pale_or_swollen_gills, clamped_fins, lethargy, loss_of_appetite, skin_appears_cloudy_or_hazy",medium,no,overhaul_simple
Fish,Lernaea,"visible_thread_like_parasites_attached_to_body, worm_like_structures_protruding_from_skin, red,_inflamed_areas_where_parasites_attach, open_sores_or_ulcers_at_attachment_sites, scratching_or_rubbing, flashing, lethargy",medium,no,overhaul_simple
Fish,Swim Bladder Disease,"swimming_upside_down, floating_at_the_surface_uncontrollably, sinking_to_the_bottom, swimming_on_side_or_at_an_angle, difficulty_maintaining_position_in_water, struggling_to_swim_normally, loss_of_balance, distended_or_swollen_belly",medium,no,overhaul_simple
Fish,Vitamin C Deficiency,"curved_or_bent_spine, deformed_body_shape, lethargy, loss_of_appetite, darkening_of_skin_color, poor_growth, fin_erosion, hemorrhaging_under_skin",medium,no,overhaul_simple
Fish,Egg Retention,"swollen_or_distended_abdomen, visible_lump_in_belly_area, lethargy, loss_of_appetite, difficulty_swimming, hiding_behavior, straining, disease:_[leptospirosis], species:_[dog], status:_[_]_missing, primary_sources_:, 1._source:petmd",medium,no,overhaul_simple
Dog,Leptospirosis,"lethargy, weight_loss, vomiting, diarrhea, fever, abdominal_pain, edema, bruising, bleeding_from_the_gums, blood_in_the urine stool_or nose, stiffness, jaundice_characterized_by_yellowing_of_the_eyes_gums, excessive_thirst, skin_ulcers, red_eyes, dehydration, sudden_miscarriage",high,yes,overhaul_detailed
Dog,Giarda,"foul, lethargy, loss_of_appetite, abdominal_discomfort, weight_loss",medium,yes,overhaul_detailed
Dog,Tapeworms,"scooting_the_rear_end_along_the_ground, licking, worm_segments_in_stool, weight_loss, vomiting, possible_intestinal_blockage",medium,yes,overhaul_detailed
Dog,Whipworms,"diarrhea, weight_loss, dehydration, anemia, electrolyte_imbalances, visible_small_thread",medium,yes,overhaul_detailed
Dog,Canine Enteric Coronavirus,"diarrhea, vomiting, loss_of_appetite, abdominal_pain, lethargy, dehydration, fever, seizures",medium,yes,overhaul_detailed
Dog,Canine respiratory coronavirus,"coughing, sneezing, labored_breathing, diarrhea, nasal_discharge, gagging, fever, lethargy, loss_of_appetite",medium,yes,overhaul_detailed
Dog,Infectious Canine Hepatitis,"lethargy, increased_thirst, loss_of_appetite, eye_discharge, cloudy_eyes, abdominal_pain, vomiting, small_red, enlarged_tonsils, fever, swelling",high,yes,overhaul_detailed
Dog,Pyoderma,"red_inflamed, circular_crusts, dandruff, hair_loss, small_raised_pustules, skin_lesions, thickened, swelling, lethargy, loss_of_appetite, abdominal_pain",medium,no,overhaul_detailed
Dog,Hot Spots,"skin_lesions, moist, bleeding_from_the_affected_area, abdominal_pain, rapidly_spreading_lesion_due_to_licking_chewing, licking_biting, hair_loss",medium,no,overhaul_detailed
Dog,Urinary Tract Infection,"straining_to_urinate, painful, passing_small_amounts_of_urine, frequent_urination, urinary_accidents_indoors, licking, swelling, drooling, blood_in_the_urine, discharge, strong, increased_thirst, lethargy, fever, loss_of_appetite",medium,no,overhaul_detailed
Bird,Ringworm,bald_patches_or_areas_of_feather_loss.,medium,yes,overhaul_detailed
Dog,Cushing’s Disease,"increased_appetite, increased_thirst_and_water_intake, or_excessive_urination, heavy, weight_loss, lethargy, potbellied, hair_loss, recurrent_skin_infections, lumps",medium,no,overhaul_detailed
Dog,Addison's Disease,"waxing_waning_symptoms, muscle_tremors, shaking, slow_heart_rate, increased_thirst, weakness, sporadic_vomiting, weight_loss",high,no,overhaul_detailed
Dog,Hypothyroidism,"unexplained_weight_gain_despite_normal, lethargy, prefers_warm_places, skin_infections, recurrent_ear_infections, dry_brittle, darkened, hair_not_regrowing_after_shaving, reproductive_issues, weakness, eye_fat_deposits, dry_eye, drooping_facial_expression_due_to_thickened_facial_skin",medium,no,overhaul_detailed
Cat,Chronic Kidney Disease,"increased_thirst, vomiting, dehydration, sores_in_the_mouth, foul_breath, weight_loss, muscle_wasting, decreased_appetite_and_nausea, changes_in_body_temperature, urinary_accidents, edema, constipation, changes_in_behavior, high_blood_pressure",high,no,overhaul_detailed
Dog,Liver Disease,"yellowing_of_eyes_gums, confusion, seizures, depression, head_pressing, sudden_blindness, behavioral_changes, loss_of_appetite, vomiting, diarrhea, weight_loss, excessive_thirst, frequent_urination, pale_gray, distended_abdomen",high,no,overhaul_detailed
Dog,Hip Dysplasia,"limping, bunny_hopping_gait, difficulty_standing_up, abnormal_sitting_posture, difficulty_climbing_stairs",medium,no,overhaul_detailed
Dog,Patellar Luxation,"limping, limp_that_comes_and_goes, bowlegged_stance_in_the_hind_limbs, arched, clicking, stiffness, short_yelp",medium,no,overhaul_detailed
Dog,ACL Tear,"limping, difficulty_standing_up_after_resting, stiff_movement_in_the_affected_leg, swelling, change_in_walking_pattern, trouble_walking_upstairs, loss_of_appetite, sitting_awkwardly_with_legs_extended_outward, growling_snapping",medium,no,overhaul_detailed
Dog,Food Allergies,"itching, recurrent_ear_infections, hair_loss, constant_licking, diarrhea, vomiting, gas, weight_loss, lethargy, bumps",high,no,overhaul_detailed
Dog,Flea Allergy Dermatitis,"hair_loss, itching, scabs, red_and_inflamed_skin, presence_of_visible_fleas, pale_gums",high,yes,overhaul_detailed
Dog,Contact Dermatitis,"red_inflamed, localized, hardened, darkened, pustules_pimples, scratching",medium,no,overhaul_detailed
Dog,Demodectic Mange,"patchy, dry_flaky, bumps, darkened, thickened, itching, abdominal_pain, lethargy, fever, skin_lesions, ear_infections_if_mites_invade_the_ear_canal",high,no,overhaul_detailed
Dog,Anaplasmosis,"limping, lethargy, loss_of_appetite, fever, coughing, seizures, vomiting, diarrhea",high,no,overhaul_detailed
Dog,Babesiosis,"lethargy, loss_of_appetite, pale_gums, fever, enlarged_lymph_nodes, dark_red, yellow, distended_abdomen, weight_loss, discolored_stool, wobbly_gait, seizures, neck_pain, tick_infestation",high,no,overhaul_detailed
Dog,Hookworms,"dark_tar, weight_loss, dull, pale_gums, weakness, anemia, coughing, dermatitis",medium,yes,overhaul_detailed
Dog,Heartworm Disease,"coughing, lethargy, exercise_intolerance, weakness, sudden_death, weight_loss, difficulty_breathing, panting, swelling",high,no,overhaul_detailed
Dog,Heatstroke,"panting, lethargy, rapid_heartbeat, dehydration, fever, vomiting, diarrhea, confusion, weakness, seizures, sudden_death",emergency,no,overhaul_detailed
Dog,Lyme Disease,"joint_pain, limping, fever, lethargy, weakness, loss_of_appetite, enlarged_lymph_nodes, vomiting, diarrhea, excessive_thirst, frequent_urination, weight_loss, swollen_limbs",medium,no,overhaul_detailed
Dog,Roundworms (Ascarids),"diarrhea, vomiting, white_spots, weight_loss, dull, coughing, weakness",medium,yes,overhaul_detailed
Dog,Rickettsial Infections,"fever, loss_of_appetite, depression, low_stamina, lameness, coughing, weight_loss, weakness, in_severe",medium,no,overhaul_detailed
Cat,Heartworm Disease,"lethargy, coughing, loss_of_appetite, weight_loss, intolerance_to_physical_activity, vomiting, labored_breathing, open_mouth_breathing, difficulty_walking, seizures, weakness",high,no,overhaul_detailed
Cat,Roundworms,"poor_growth, diarrhea, crying, distended_abdomen, weight_loss, dull, vomiting, coughing",medium,yes,overhaul_detailed
Cat,Tapeworms,"presence_of_white_rice, scooting, licking, diarrhea, vomiting, poor_appetite, lethargy, weight_loss, intestinal_blockage",medium,yes,overhaul_detailed
Cat,Hookworms,"blood_in_the_stool, weight_loss, pale_gums, poor, lethargy, diarrhea, vomiting",medium,yes,overhaul_detailed
Cat,Giardia,"watery_foul, vomiting, gas, loss_of_appetite, lethargy, litter_box_use, perianal_irritation, weight_loss",medium,yes,overhaul_detailed
Cat,Urinary Blockage,"blood_in_urine, straining_to_urinate, urinating_small_amounts_frequently, increased_frequency_of_trips_to_the_litter_box, urinating_outside_the_litter_box, licking, vocalization, lethargy, loss_of_appetite, vomiting, diarrhea",emergency,no,overhaul_detailed
Cat,Cystitis,"straining_to_urinate, urinating_small_amounts_frequently, increased_frequency_of_trips_to_the_litter_box, blood_in_the_urine, urinating_outside_the_litter_box, licking, vocalization, lethargy, loss_of_appetite, vomiting, diarrhea, decreased_social_interaction",emergency,no,overhaul_detailed
Cat,Kidney Stones,"blood_in_the_urine, vomiting, recurrent_urinary_tract_infections, painful, urination_with_small_volume, lethargy, loss_of_appetite",high,no,overhaul_detailed
Cat,Stomatitis,"foul_odor_from_the_mouth, salivation, reduced_grooming_leading_to_matted, difficulty_eating, crying_out, loss_of_appetite, weight_loss",medium,no,overhaul_detailed
Cat,Tooth Resorption,"drooling, difficulty_eating, dropping_food_while_eating, jaw_chattering_while_eating, avoiding_the_food_bowl, no_outward_signs_of_pain_in_some_cats",medium,no,overhaul_detailed
Cat,Asthma,"coughing, difficulty_breathing, weight_loss, blue, wheezing",emergency,no,overhaul_detailed
Rabbit,Hairballs,"decreased_or_absent_appetite, decreased_fluid_intake, decreased_fecal_output, lethargy, abdominal_distention_–_stomach_looks_enlarged",medium,no,overhaul_detailed
Cat,Toxoplasmosis,"lethargy, loss_of_appetite, weight_loss, fever, labored_breathing, yellowing_of_eyes_skin, sudden_behavior_changes, vision_loss, weakness, loss_of_balance, stiffness, seizures",high,yes,overhaul_detailed
Cat,Feline Herpesvirus (FHV-1),"sneezing, nasal_discharge, fever, loss_of_appetite, coughing, diarrhea, lethargy, swelling, change_in_eye_color, skin_ulcers, red_inflamed, scabs, hair_loss",medium,yes,overhaul_detailed
Cat,Mange,"patchy, scratching, lethargy, skin_lesions, bumps, oozing_red_patches, grooming, chin_acne, crusty, dandruff",medium,yes,overhaul_detailed
Dog,Ticks,"fever, swollen_joints, limping, low_appetite, vomiting, diarrhea, visible_parasite_small_six_legs",medium,yes,overhaul_detailed
Cat,Campylobacteriosis,"fever, vomiting, straining_to_defecate, loss_of_appetite, distended_abdomen",high,yes,overhaul_detailed
Cat,Acne,"red_inflamed_chin, bumps, crusty, abdominal_pain",medium,no,overhaul_detailed
Bird,Mycoplasma Respiratory Infection,"sneezing, watery_swollen, coughing, difficulty_breathing, head_shaking, lethargy, loss_of_appetite, poor_feather_condition, swelling",medium,yes,overhaul_detailed
Bird,Vitamin A Deficiency,"white_spots, weight_loss, nasal_discharge, discharge, wheezing, sneezing, crusts_blocking_the_nostrils, loss_of_appetite, diarrhea, gagging, foul_odor_from_the_mouth, slimy_coating_in_the_mouth, tail_bobbing, dull, listlessness, depression, potential_internal_organ_disorders_affecting_reproductive_digestive",high,no,overhaul_detailed
Bird,Calcium Deficiency,"tremors, weakness, difficulty_standing_walking, abnormal, seizures, loss_of_appetite, weight_loss",emergency,no,overhaul_detailed
Bird,Iodine Deficiency/Goiter,"lumps, loud_harsh, wheezing, clicking, difficulty_swallowing, regurgitating_food_after_eating, reduced_tolerance_to_stress, sudden_irritability",medium,no,overhaul_detailed
Cat,Obesity,"difficulty_jumping_or_climbing_stairs, loss_of_a_visible_waistline, dirty,_messy,_unkempt_hair_coat, collar_keeps_getting_tighter",medium,no,overhaul_detailed
Bird,Chronic Egg Laying,"or_frequent_egg_production, weakness, loss_of_appetite, difficulty_passing_eggs, distended_abdomen, seizures, abnormal, straining_during_egg, aggressive, vocalization, feather_plucking, poor_coordination",high,no,overhaul_detailed
Bird,Avian Polyomavirus,"sudden_death_in_young_birds, lethargy, distended_abdomen, crop_stasis, feather_loss, bruising, poor_feather_growth_in_recovering_birds, bleeding, difficulty_perching, loss_of_appetite, delayed_fledging",high,yes,overhaul_detailed
Bird,Lice and Mite,"scratching, feather_loss, restless_behavior_especially_during_nighttime, scaly_crusty_buildup_on_the_beak_legs, difficulty_breathing, pale_gums, weakness, tiny_crawling_insects, reduced_egg_production",medium,yes,overhaul_detailed
Fish,Diarrhea,"urgency:_emergency, contagious:_no, disease:_cystitis, species:_cat, status:_[_]_missing, primary_sources_:, 1._source:_petmd, symptoms_extracted:",emergency,no,overhaul_detailed
Rabbit,Bloat/Gastric Dilation,"weakness, loss_of_appetite, depression, irregular_heart_rate, low_blood_pressure, abdominal_pain, bloating",emergency,no,overhaul_detailed
Rabbit,Enteritis,"mucus, soiled_hindquarters, bloated, teeth_grinding, loss_of_appetite, weight_loss, dehydration, restlessness, dull, low_body_temperature, intestinal_blockage",emergency,no,overhaul_detailed
Rabbit,Coccidiosis,"diarrhea, lethargy, weakness, loss_of_appetite, weight_loss, dehydration",emergency,yes,overhaul_detailed
Rabbit,Hepatic Coccidiosis (Liver Coccidiosis),"loss_of_appetite, dull, poor_growth, lethargy, sudden_death",high,yes,overhaul_detailed
Rabbit,Intestinal Coccidiosis,"diarrhea, loss_of_appetite, weight_loss, lethargy, dehydration",high,yes,overhaul_detailed
Rabbit,Ear Mite Infestation (Psoroptes cuniculi),"scratching, thick_brown_crusts_inside_ears, head_tilt, weight_loss",medium,yes,overhaul_detailed
Rabbit,Fur Mite Infestation (Cheyletiella parasitovorax),"white_flakes, itching, hair_loss, dry",medium,yes,overhaul_detailed
Rabbit,Sarcoptic Mange (Sarcoptes scabiei or Notoedres cati),"scratching, thick_crusts, hair_loss, skin_thickening",high,yes,overhaul_detailed
Rabbit,Flea Infestation (Ctenocephalides spp.),"scratching, tiny_dark_specks, fleas_jumping_on_fur, pale_gums, restlessness",medium,yes,overhaul_detailed
Rabbit,Encephalitozoonosis (Encephalitozoon cuniculi),"head_tilt, incoordination, seizures, excessive_thirst, weight_loss, cloudy_eyes",high,yes,overhaul_detailed
Rabbit,Tooth root abscesses,"diarrhea, overgrown_teeth, swelling, prefers_soft_foods, weight_loss, watery_eyes, nasal_discharge, lethargy, hunched_sitting_posture, hiding",medium,no,overhaul_detailed
Rabbit,Overgrown Incisors,"overgrown_teeth, drooling, grinding_teeth, nasal_discharge, dropping_food_while_eating, prefers_soft_foods, drinks_from_water_bowl_instead_of_sipper_bottle, reduced_appetite, weight_loss, watery_eyes, uneven_face_shape, lethargy, messy",high,no,overhaul_detailed
Rabbit,Rabbit Hemorrhagic Disease Virus,"sudden_death_without_warning, bleeding_from_the_nose_mouth_rectum, fever, difficulty_breathing, incoordination, weakness, loss_of_appetite, pale_gums, weight_loss",emergency,yes,overhaul_detailed
Rabbit,Urinary Tract Infection,"urinary_incontinence, dribbling_urine, urination_outside_of_the_litter_box, lethargy, loss_of_appetite, urine_scalding, licking, hunched_posture, teeth_grinding, hiding, reacting_with_discomfort_when_the_lower_abdomen_is_touched, darker",medium,no,overhaul_detailed
Rabbit,Bladder Stones,"blood_in_urine, straining_to_urinate, but_small_urine_output, distended_abdomen, lethargy, loss_of_appetite, dribbling_urine",emergency,no,overhaul_detailed
Rabbit,Bladder Sludge,"strong, darker, sandy, thick_sludgy_urine_consistency, urine_dribbling_down_the_inner_thighs, matted, red_irritated, straining_to_urinate, lethargy",medium,no,overhaul_detailed
Turtle,Abscesses,"hard,_firm_swelling_or_nodules_under_the_skin, tumor_like_lumps, swelling_anywhere_on_body, red_and_sensitive_skin_over_abscess, pus_filled_lumps, ruptured_abscess_with_pus_discharge, pain_when_area_is_touched",high,no,overhaul_detailed
Fish,Velvet Disease,"fine_dust, lethargy, weight_loss, spending_excessive_time_near_the_surface_of_the_water, labored_breathing, pale_gums",high,yes,overhaul_detailed
Fish,Anchor Worms,"skin_lesions, thread, fish_rubbing, swelling, possible_secondary_bacterial_infections_at_lesion_sites",high,yes,overhaul_detailed
Fish,Fish Lice and Leech,"small_dark_brown, rubbing_against_objects, jumping, loss_of_appetite, lethargy, pale_gums, hiding",medium,yes,overhaul_detailed
Fish,Fish Tuberculosis,"sunken, enlarged, lethargy, weakness, loss_of_appetite, weight_loss, skin_lesions, wasting_of_flesh, spinal_deformities, loss_of_scales, nodules_in_muscles, fin_erosion, signs_of_organ_failure_in_advanced_stages",high,yes,overhaul_detailed
Fish,(Hemorrhagic Septicemia / Ulcerative Syndromes),"red_streaks, ulcers, lethargy, loss_of_appetite, abnormal_swimming",high,yes,overhaul_detailed
Fish,"Gram-positive Bacterial Infections (Streptococcus, Lactococcus, Enterococcus, Vagococcus)","neurologic_symptoms_spinning_spiraling, reddened_skin, stomatitis, lethargy, high_mortality_in_severe_outbreaks",high,yes,overhaul_detailed
Fish,Cotton wool disease,"pale_raised_fluffy, pale_gums, lethargy, difficulty_maintaining_balance, loss_of_appetite",high,yes,overhaul_detailed
Fish,Ammonia Poisoning,"gasping_at_surface, red_gills, lethargy, loss_of_appetite, rapid_breathing",emergency,no,overhaul_detailed
Fish,Nitrate Poisoning,"lethargy, loss_of_appetite, reddened, rapid, sudden_death_in_severe",high,no,overhaul_detailed
Fish,pH shock,"difficulty_breathing, rapid_labored, erratic_swimming_darting, lethargy, loss_of_appetite, faded_coloration_stress_stripes, clamped_fins, mucus, sudden_death_following_abrupt_water_changes",emergency,no,overhaul_detailed
Fish,Cold Water Shock,"lethargy, clamped_fins, difficulty_breathing, loss_of_appetite, disruption_of_schooling_behavior_in_species_that_normally_swim_in_groups, faded, slowed_metabolism_affecting_digestion_and_immune_response, increased_susceptibility_to_secondary_infections, labored_breathing, sudden_death_in_extreme_cases",emergency,no,overhaul_detailed
Fish,Heat Shock,"frantic, loss_of_appetite, difficulty_breathing, disruption_of_schooling_behavior_in_species_that_normally_swim_in_groups, lethargy, clamped_fins, faded, labored_breathing, white_patches, potential_organ_damage_with_prolonged_exposure, sudden_death_in_severe_cases",emergency,no,overhaul_detailed
Fish,Koi herpes virus,"piping, fish_congregating_near_oxygen, mucous_production_from_gills, distended_abdomen, gill_necrosis, skin_and_fin_ulcerations, reddened_skin_fins, pale_patches_on_the_body, sloughing, sandpaper_texture_of_the_skin, frequent_urination, loss_of_appetite, lethargy, sunken, erratic_swimming, hanging_with_head",emergency,yes,overhaul_detailed
Hamster,Protozoal Infection,"diarrhea, loss_of_appetite, dehydration, lethargy, weight_loss, occasionally_sudden_death_in_severe_cases",medium,yes,overhaul_detailed
Hamster,Pinworm Infection,"diarrhea, anal_irritation, presence_of_worms_in_feces, weight_loss, rarely_intestinal_blockage, lethargy",medium,yes,overhaul_detailed
Hamster,Tapeworm Infection,"usually_no_signs_in_mild_cases, diarrhea, weight_loss, intestinal_inflammation, infection_of_lymph_nodes, decreased_activity",medium,yes,overhaul_detailed
Hamster,Diabetes Mellitus,"excessive_thirst, frequent_urination, increased_appetite, weight_loss, irritability, weakness, dehydration",medium,no,overhaul_detailed
Hamster,Malocclusion (Dental Overgrowth),"overgrown_teeth, weight_loss, drooling, pawing_at_the_mouth, loss_of_appetite, oral_discomfort, potential_development_of_oral_abscesses",high,no,overhaul_detailed
Hamster,Heatstroke,"protruding, reddened_swollen, hair_loss, rectal_prolapse, nosebleeds, sneezing, restlessness",emergency,no,overhaul_detailed
Hamster,Hair Loss (Alopecia),"weight_loss, hair_loss, areas_of_short_stubbly_hair_growth, scabbing, dandruff, lethargy",medium,no,overhaul_detailed
Turtle,Pyramiding,"abnormal_beak_growth_that_interferes_with_feeding, distorted_skull_shape_as_it_develops, improper_positioning_of_upper_and_lower_beaks_when_jaw_is_closed, abnormal_wear_patterns_on_the_beaks, difficulty_eating, deformity_of_jaw_structure, progressive_worsening_requiring_repeated_beak_trimming",medium,no,overhaul_detailed
Turtle,Soft Shell Disease (Metabolic Bone Disease),"distended_abdomen, diarrhea, poor_appetite, weakness, fractures_of_the_spine, cloacal_prolapse, muscle_spasms",high,no,overhaul_detailed
Turtle,Shell Injuries/Trauma,"cracks, bleeding_from_shell_wounds, exposed_tissue_underneath_damaged_shell, pitting, scutes_sloughing_off, discharge, reddened",high,no,overhaul_detailed
Turtle,Hypovitaminosis D (Vitamin D3 Deficiency),"distorted_skull_development, abnormal_beak_positioning_and_growth, diarrhea, weakness, swollen_jaw, fractures_occurring_easily, loss_of_appetite",high,no,overhaul_detailed
Turtle,"Internal Parasites (Roundworms, Tapeworms, Protozoa)","weight_loss, vomiting, mucus, worms_in_feces, lethargy, poor_body_condition_despite_eating, swelling",medium,yes,overhaul_detailed
Turtle,"External Parasites (Mites, Ticks, Leeches, Botflies)","parasites_on_skin_around_eyes, time_spent_soaking_in_water, coarse, abnormal_shedding_patterns, lethargy, lumps, anemia",medium,yes,overhaul_detailed
Turtle,Thermal Burns,"fluid, reddened, damaged, raw, pustules_that_may_rupture, swelling, reluctance_to_move",high,no,overhaul_detailed
Turtle,Drowning/Hypothermia,"lethargy, inability_to_move_normally, cold_to_the_touch, floating_abnormally, difficulty_breathing, loss_of_muscle_control, seizures",emergency,no,overhaul_detailed
